ID,縣市,鄉鎮市區,村里,門牌,二級發布區,一級發布區,最小統計區,比對代碼,X坐標,Y坐標,坐標系統 
153,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
154,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
155,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
156,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
157,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
158,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
159,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
160,臺北市,松山區,美仁里,八德路三段25號(藝文推廣處),A6301-58,A6301-58-002,A6301-0620-00,AL0-F2-0-2020M07,121.552017343265,25.0483506381592,EPSG:4326
161,高雄市,鹽埕區,中山里,大仁路179號5樓、6樓,A6401-05,A6401-05-005,A6401-0058-00,AL0-N3-0-2020M07,120.281841732301,22.6266586974771,EPSG:4326
162,高雄市,鹽埕區,中山里,大仁路179號5樓、6樓,A6401-05,A6401-05-005,A6401-0058-00,AL0-N3-0-2020M07,120.281841732301,22.6266586974771,EPSG:4326
